Tag,brandNameTH,brandNameEN,headLineTH,points,ussdNo,conditionTH,categoryTH,categoryType,locationTH,Mass,Gold
"Privilege","Embassy Diplomat Screen by AIS","Embassy Diplomat Screen by AIS","เซเรเนด เข้าใช้บริการ AIS LOUNGE ฟรี","0","*545*620#","1.กรุณากดรับสิทธิ์ต่อหน้าพนักงานพร้อมแสดงข้อความในโทรศัพท์เคลื่อนที่ของท่านก่อนรับสิทธิ์<br>2.สงวนสิทธิ์สำหรับลูกค้าเอไอเอส เซเรเนดเท่านั้น<br>3.สงวนสิทธิ์ 1 หมายเลข / 1 สิทธิ์ / วัน<br>4.สงวนสิทธิ์สำหรับการเข้าใช้พื้นที่ภายใน AIS LOUNGE เท่านั้น (ไม่มี  Snack และ เครื่องดื่ม)","เซเรเนด","PRIVILEGE","AIS LOUNGE โรงภาพยนตร์ Embassy Diplomat Screens by AIS ศูนย์การค้าเซ็นทรัล เอ็มบาสซี ชั้น 6","เซเรเนด เข้าใช้บริการ AIS LOUNGE ฟรี",""
"Privilege","Bellugg","Bellugg","รับส่วนลด 100 บาท","0","*545*60001#","1.1 หมายเลข/1 สิทธิ์/เดือน <br>
2.กรุณาแจ้งพนักงานและแสดงรหัสตอบกลับก่อนรับสิทธิ์ทุกครั้ง <br>
3.จำกัดสิทธิ์ 2,000 สิทธิ์ / เดือน <br>
4.สงวนสิทธิ์สำหรับลูกค้าเอไอเอสที่มียอดค่าใช้บริการเฉลี่ย 100 บาทต่อเดือนขึ้นไป","ท่องเที่ยวและเดินทาง","PRIVILEGE","เคาน์เตอร์ Bellugg (EmQuartier ชั้น B1, ตลาดสวนจตุจักร ซอย 35/5)","รับส่วนลด 100 บาท เมื่อใช้บริการ รับ-ส่ง กระเป๋าเดินทาง จาก Bellugg delivery service ","ซื้อ 1 ฟรี 1 เมื่อใช้บริการ รับ-ส่ง กระเป๋าเดินทาง จาก Bellugg delivery service "
"Privilege","เจ้าพระยาทัวร์ริสโบ๊ท","เจ้าพระยาทัวร์ริสโบ๊ท","ลูกค้า AIS และ AIS Fibre รับส่วนลด 40 บาท","0","*545*163#","1. สิทธิพิเศษนี้สำหรับลูกค้า AIS และ AIS Fibre ที่มียอดค่าใช้บริการเฉลี่ย 300 บาทขึ้นไป<br>
2. 1 หมายเลข / 1 สิทธิ์ / เดือน<br> 
3. สงวนสิทธิ์ 1,000 สิทธิ์ / เดือน<br>
4. สิทธิพิเศษนี้สำหรับบัตรโดยสารประเภท 1 วัน ( One-Day River Pass, One-Night River Pass และ All Day All Night Pass ) และสามารถใช้เดินทางภายในวันที่ที่ระบุบนตั๋วโดยสาร โดยไม่จำกัดจำนวนเที่ยว<br<
5. ใช้สิทธิ์ได้ที่ ท่าเรือสาทร เท่านั้น
","ท่องเที่ยวและเดินทาง","PRIVILEGE","ท่าเรือสาทร เท่านั้น","รับส่วนลด 40 สำหรับบัตรโดยสาร One-Day River Pass หรือ One-Night River Pass ปกติ 200 บาท หรือ All Day All Night Pass ปกติ 300 บาท ",""
"Privilege","เอวิส ","AVIS Car Rental","ลูกค้าเอไอเอส เช่ารถขับเองกับ AVIS เริ่มต้น 699 บ. ลูกค้าเซเรเนดรับสิทธิ์คืนรถช้า 6 ชม. (ลูกค้าทั่วไป 4 ชม.)","0","*545*966#","•	จำกัดสิทธิ์ 1 หมายเลข / 2 สิทธิ์ ต่อเดือน  
•	สงวนสิทธิ์สำหรับลูกค้าที่มียอดใช้จ่ายรายเดือน มากกว่า 100 บาท
•	สิทธิพิเศษนี้ สามารถใช้ได้ทั้งลูกค้าที่จดทะเบียนในนามบุคคล
และนิติบุคคล
","ท่องเที่ยวและเดินทาง","PRIVILEGE","https://www.avisthailand.com/ais","ลูกค้า AIS เช่ารถขับเอง ในราคาพิเศษ
อัตราค่าเช่าพิเศษ 699 บาท/วัน (Eco Car/1,200cc) เมื่อเช่า 2 วันขึ้นไป   
","ลูกค้า AIS เช่ารถขับเอง ในราคาพิเศษ 699 บาท/วัน (Eco Car/1,200cc) เมื่อเช่า 2 วันขึ้นไป   
วิธีการรับสิทธิ์
•	ลูกค้ากด *545*966#  เพื่อรับรหัสสิทธิพิเศษ
•	ลูกค้าเอไอเอส ต้องจองล่วงหน้าผ่าน https://www.avisthailand.com/ais  หรือ 
สอบถามเพิ่มเติมที่ AVIS Rent A Car โทร. 02251-1131 
•	ใส่ Privilege code ของท่าน เมื่อทำการจองรถ

"
"Privilege","Bellugg","Bellugg","รับส่วนลด 100 บาท","0","*545*60001#","1.1 หมายเลข/1 สิทธิ์/เดือน <br>
2.กรุณาแจ้งพนักงานและแสดงรหัสตอบกลับก่อนรับสิทธิ์ทุกครั้ง <br>
3.จำกัดสิทธิ์ 2,000 สิทธิ์ / เดือน <br>
4.สงวนสิทธิ์สำหรับลูกค้าเอไอเอสที่มียอดค่าใช้บริการเฉลี่ย 100 บาทต่อเดือนขึ้นไป","ท่องเที่ยวและเดินทาง","PRIVILEGE","เคาน์เตอร์ Bellugg (EmQuartier ชั้น B1, ตลาดสวนจตุจักร ซอย 35/5)","รับส่วนลด 100 บาท เมื่อใช้บริการ รับ-ส่ง กระเป๋าเดินทาง จาก Bellugg delivery service ","ซื้อ 1 ฟรี 1 เมื่อใช้บริการ รับ-ส่ง กระเป๋าเดินทาง จาก Bellugg delivery service "
"Privilege","เจ้าพระยาทัวร์ริสโบ๊ท","เจ้าพระยาทัวร์ริสโบ๊ท","ลูกค้า AIS และ AIS Fibre รับส่วนลด 40 บาท","0","*545*163#","1. สิทธิพิเศษนี้สำหรับลูกค้า AIS และ AIS Fibre ที่มียอดค่าใช้บริการเฉลี่ย 300 บาทขึ้นไป<br>
2. 1 หมายเลข / 1 สิทธิ์ / เดือน<br> 
3. สงวนสิทธิ์ 1,000 สิทธิ์ / เดือน<br>
4. สิทธิพิเศษนี้สำหรับบัตรโดยสารประเภท 1 วัน ( One-Day River Pass, One-Night River Pass และ All Day All Night Pass ) และสามารถใช้เดินทางภายในวันที่ที่ระบุบนตั๋วโดยสาร โดยไม่จำกัดจำนวนเที่ยว<br<
5. ใช้สิทธิ์ได้ที่ ท่าเรือสาทร เท่านั้น
","ท่องเที่ยวและเดินทาง","PRIVILEGE","ท่าเรือสาทร เท่านั้น","รับส่วนลด 40 สำหรับบัตรโดยสาร One-Day River Pass หรือ One-Night River Pass ปกติ 200 บาท หรือ All Day All Night Pass ปกติ 300 บาท ",""
"Privilege","เอวิส ","AVIS Car Rental","ลูกค้าเอไอเอส เช่ารถขับเองกับ AVIS เริ่มต้น 699 บ. ลูกค้าเซเรเนดรับสิทธิ์คืนรถช้า 6 ชม. (ลูกค้าทั่วไป 4 ชม.)","0","*545*966#","•	จำกัดสิทธิ์ 1 หมายเลข / 2 สิทธิ์ ต่อเดือน  
•	สงวนสิทธิ์สำหรับลูกค้าที่มียอดใช้จ่ายรายเดือน มากกว่า 100 บาท
•	สิทธิพิเศษนี้ สามารถใช้ได้ทั้งลูกค้าที่จดทะเบียนในนามบุคคล
และนิติบุคคล
","ท่องเที่ยวและเดินทาง","PRIVILEGE","https://www.avisthailand.com/ais","ลูกค้า AIS เช่ารถขับเอง ในราคาพิเศษ
อัตราค่าเช่าพิเศษ 699 บาท/วัน (Eco Car/1,200cc) เมื่อเช่า 2 วันขึ้นไป   
","ลูกค้า AIS เช่ารถขับเอง ในราคาพิเศษ 699 บาท/วัน (Eco Car/1,200cc) เมื่อเช่า 2 วันขึ้นไป   
วิธีการรับสิทธิ์
•	ลูกค้ากด *545*966#  เพื่อรับรหัสสิทธิพิเศษ
•	ลูกค้าเอไอเอส ต้องจองล่วงหน้าผ่าน https://www.avisthailand.com/ais  หรือ 
สอบถามเพิ่มเติมที่ AVIS Rent A Car โทร. 02251-1131 
•	ใส่ Privilege code ของท่าน เมื่อทำการจองรถ

"
"Privilege","เชิดชัยทัวร์","","รับส่วนลด 30 บาท เมื่อซื้อตั๋วโดยสาร เชิดชัยทัวร์ ทุกวันศุกร์ เสาร์ และอาทิตย์","0","*545*84#","1. สิทธิพิเศษนี้สำหรับลูกค้า AIS และ AIS Fibre ที่มียอดค่าใช้บริการเฉลี่ย 300 บาทต่อเดือนขึ้นไป<br>
2. 1 หมายเลข / 1 ครั้ง / เดือน  <br>
3. สิทธิพิเศษนี้สำหรับการซื้อตั๋วและชำระเงิน ณ จุดจำหน่ายตั๋วในวันศุกร์ เสาร์ อาทิตย์ แต่สามารถเดินทางได้ทุกวัน (ไม่รวมจองผ่านโทรศัพท์)<br>
4. จำกัด 2,000 สิทธิ์ / เดือน<br>
","ไลฟ์สไตล์","PRIVILEGE","","รับส่วนลด 30 บาท เมื่อซื้อตั๋วโดยสาร เชิดชัยทัวร์ ทุกวันศุกร์ เสาร์ และอาทิตย์",""
"Privilege","ลิตเติ้ล เชลเตอร์","Little Shelter","จ่ายเริ่มต้นเพียง 3,250 บาท/คืน ","0","*545*630*16#","สิทธิพิเศษนี้สำหรับลูกค้าเอไอเอส เซเรเนดเท่านั้น ","ไลฟ์สไตล์","PRIVILEGE","โรงแรม Little Shelter เชียงใหม่","","จ่ายเริ่มต้นเพียง 3,250 บาท/คืน เมื่อจองห้องพัก Little Comfy 2 คืนติดต่อกัน"
"Privilege","Spartanz Gym","Spartanz Gym","รับส่วนลด 10% ","0","*545*60285#","1.1 หมายเลข/1 สิทธิ์/เดือน <br>
2.กรุณาแจ้งพนักงานและแสดงรหัสตอบกลับก่อนรับสิทธิ์ทุกครั้ง <br>
3.สงวนสิทธิ์สำหรับลูกค้าเอไอเอสที่มียอดค่าใช้บริการเฉลี่ย 100 บาทต่อเดือนขึ้นไป","ไลฟ์สไตล์","PRIVILEGE","ร้าน Spartanz Gym จ.สระบุรี","รับส่วนลด 10% เมื่อสมัคร เล่นฟิตเนสรายเดือน (ราคา 950 บาท)",""
